Code,Name,Year ending Sep 1997,Year ending Sep 1998,Year ending Sep 1999,Year ending Sep 2000,Year ending Sep 2001,Year ending Sep 2002,Year ending Sep 2003,Year ending Sep 2004,Year ending Sep 2005,Year ending Sep 2006,Year ending Sep 2007,Year ending Sep 2008,Year ending Sep 2009,Year ending Sep 2010,Year ending Sep 2011,Year ending Sep 2012,Year ending Sep 2013,Year ending Sep 2014,Year ending Sep 2015,Year ending Sep 2016,Year ending Sep 2017,Year ending Sep 2018
K04000001,England and Wales,"59,950","64,500","70,000","78,500","87,950","104,000","125,000","145,500","156,000","164,000","174,000","175,000","165,000","178,300","177,000","180,000","183,000","190,000","204,000","215,000","225,000","232,500"
,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England ,"59,995","65,000","71,000","79,950","89,950","106,000","127,100","148,000","158,000","165,000","175,000","177,750","167,000","180,000","180,000","181,500","185,000","195,000","209,500","220,000","230,000","239,000"
,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"46,500","47,500","50,000","52,000","53,725","59,500","72,000","92,000","105,000","117,000","122,000","122,000","118,000","124,950","118,950","119,000","121,000","125,000","130,805","133,500","135,000","139,950"
E12000002,North West,"48,500","50,000","52,500","56,000","59,950","67,500","80,000","100,500","116,500","125,000","133,500","132,500","125,000","132,000","127,500","129,000","130,000","137,000","142,500","148,000","155,000","160,000"
E12000003,Yorkshire and The Humber,"48,500","49,950","52,000","55,000","59,000","66,950","82,500","105,000","118,098","125,000","134,500","133,998","126,500","135,000","130,000","130,000","132,000","138,500","143,000","149,950","155,000","160,000"
E12000004,East Midlands,"49,950","53,000","56,000","60,000","68,000","79,995","99,950","123,000","130,500","135,000","142,995","142,000","132,000","140,000","136,995","137,248","140,000","148,500","157,000","165,250","176,995","185,000"
E12000005,West Midlands,"54,000","56,000","59,950","65,500","73,500","85,000","103,000","125,000","133,000","140,000","146,000","145,000","139,950","147,500","144,000","145,000","148,000","155,000","161,000","168,000","178,000","188,000"
E12000006,East,"62,000","67,750","73,990","84,000","95,500","118,500","140,000","159,995","169,000","175,000","186,950","190,000","175,000","189,000","190,000","190,000","197,000","210,000","230,000","250,000","275,000","283,000"
E12000007,London,"83,500","94,950","111,000","134,000","150,000","174,000","195,000","217,000","229,000","240,000","250,000","265,000","250,000","280,000","292,500","297,500","315,000","353,000","390,000","435,000","460,000","467,500"
E12000008,South East,"72,500","81,000","89,000","106,950","123,000","140,000","165,000","181,000","190,000","199,000","215,000","220,000","200,000","223,000","224,500","225,000","234,000","245,000","265,000","290,000","310,000","320,000"
E12000009,South West,"59,950","65,000","71,000","82,000","93,000","115,000","139,950","159,950","169,950","175,000","187,995","190,000","175,000","187,000","185,000","186,500","189,950","199,000","212,000","225,000","239,995","249,000"
W92000004,Wales,"47,000","49,000","52,000","56,000","59,950","67,500","82,500","109,000","124,000","130,000","139,000","138,000","130,000","135,000","130,500","133,000","133,500","138,000","142,750","148,000","150,000","155,000"
